Rank,Country,Econ. Classif.,Coastal pop. [millions],Waste gen rate [kg/ppd],% plastic waste,% mismanaged waste,Mismanagd plastic waste [MMT/year],% of total mismanaged plastic waste,Plastic marine debris [MMT/year]
1,China,UMI,262.9,1.1,11,76,8.82,27.7,1.32–3.53
2,Indonesia,LMI,187.2,0.52,11,83,3.22,10.1,0.48–1.29
3,Philippines,LMI,83.4,0.5,15,83,1.88,5.9,0.28–0.75
4,Vietnam,LMI,55.9,0.79,13,88,1.83,5.8,0.28–0.73
5,Sri Lanka,LMI,14.6,5.1,7,84,1.59,5,0.24–0.64
6,Thailand,UMI,26,1.2,12,75,1.03,3.2,0.15–0.41
7,Egypt,LMI,21.8,1.37,13,69,0.97,3,0.15–0.39
8,Malaysia,UMI,22.9,1.52,13,57,0.94,2.9,0.14–0.37
9,Nigeria,LMI,27.5,0.79,13,83,0.85,2.7,0.13–0.34
10,Bangladesh,LI,70.9,0.43,8,89,0.79,2.5,0.12–0.31
11,South Africa,UMI,12.9,2,12,56,0.63,2,0.09–0.25
12,India,LMI,187.5,0.34,3,87,0.6,1.9,0.09–0.24
13,Algeria,UMI,16.6,1.2,12,60,0.52,1.6,0.08–0.21
14,Turkey,UMI,34,1.77,12,18,0.49,1.5,0.07–0.19
15,Pakistan,LMI,14.6,0.79,13,88,0.48,1.5,0.07–0.19
16,Brazil,UMI,74.7,1.03,16,11,0.47,1.5,0.07–0.19
17,Burma,LI,19,0.44,17,89,0.46,1.4,0.07–0.18
18,Morocco,LMI,17.3,1.46,5,68,0.31,1,0.05–0.12
19,North Korea,LI,17.3,0.6,9,90,0.3,1,0.05–0.12
20,United States,HIC,112.9,2.58,13,2,0.28,0.9,0.04–0.11
